# venue: binance
# source: https://fapi.binance.com/fapi/v1/fundingRate
# fetched_at: 2026-08-10T17:53:40Z
# caveat: Historical funding from the source venue (public, free). Cross-venue proxy for Coinbase-INTX funding; rates correlate but are not identical. ts=epoch seconds UTC. OI not available historically.
ts,coin,venue,funding_rate,funding_annualized,mark_price,open_interest,source
1714867200,ARB,binance,6.534e-05,0.0715473,1.0609,,https://fapi.binance.com/fapi/v1/fundingRate
1714896000,ARB,binance,6.751e-05,0.07392345,1.0468,,https://fapi.binance.com/fapi/v1/fundingRate
1714924800,ARB,binance,6.072e-05,0.0664884,1.0861,,https://fapi.binance.com/fapi/v1/fundingRate
1714953600,ARB,binance,9.364e-05,0.10253580000000001,1.0702,,https://fapi.binance.com/fapi/v1/fundingRate
1714982400,ARB,binance,8.322e-05,0.09112590000000001,1.12564297,,https://fapi.binance.com/fapi/v1/fundingRate
1715011200,ARB,binance,8.966e-05,0.0981777,1.07343995,,https://fapi.binance.com/fapi/v1/fundingRate
1715040000,ARB,binance,2.432e-05,0.026630400000000002,1.0596909,,https://fapi.binance.com/fapi/v1/fundingRate
1715068800,ARB,binance,9.611e-05,0.10524045,1.05745197,,https://fapi.binance.com/fapi/v1/fundingRate
1715097600,ARB,binance,0.0001,0.1095,1.0632,,https://fapi.binance.com/fapi/v1/fundingRate
1715126400,ARB,binance,0.0001,0.1095,1.0250649,,https://fapi.binance.com/fapi/v1/fundingRate
1715155200,ARB,binance,-2.996e-05,-0.0328062,1.0146,,https://fapi.binance.com/fapi/v1/fundingRate
1715184000,ARB,binance,6.17e-05,0.0675615,1.03320666,,https://fapi.binance.com/fapi/v1/fundingRate
1715212800,ARB,binance,0.0001,0.1095,1.0278,,https://fapi.binance.com/fapi/v1/fundingRate
1715241600,ARB,binance,0.0001,0.1095,1.01900953,,https://fapi.binance.com/fapi/v1/fundingRate
1715270400,ARB,binance,0.0001,0.1095,1.0272,,https://fapi.binance.com/fapi/v1/fundingRate
1715299200,ARB,binance,0.0001,0.1095,1.04061305,,https://fapi.binance.com/fapi/v1/fundingRate
1715328000,ARB,binance,0.0001,0.1095,1.04903697,,https://fapi.binance.com/fapi/v1/fundingRate
1715356800,ARB,binance,0.0001,0.1095,1.0084,,https://fapi.binance.com/fapi/v1/fundingRate
1715385600,ARB,binance,4.693e-05,0.05138835,0.99468295,,https://fapi.binance.com/fapi/v1/fundingRate
1715414400,ARB,binance,0.0001,0.1095,1.0029219,,https://fapi.binance.com/fapi/v1/fundingRate
